uid,compound,count
47743894,187579,4
47743894,81183,5
47743894,288134_17203743,2
47743894,81184,5
47743894,29102,2
47743894,364489,4
47743894,81185,5
47743894,886754,7
47743894,165139,3
47743894,1551746,5
47743894,81186,5
47743894,56873,3
47743894,81187,6
47743894,31965_2080598,5
47743894,165154,3
47743894,165155,3
47743894,15560561_783868,3
47743894,288314,3
47743894,165156,3
47743894,26900,4
47743894,81665,5
47743894,783722_16142485,2
47743894,57110,3
47743894,288317,3
47743894,6715,3
47743894,29451158_81099_29446646,5
47743894,294030,2
47743894,69788,4
47743894,288129_16871062,4
47743894,26907,2
47743894,1518486,3
47743894,26908,2
47743894,1517675,5
47743894,1518487,4
47743894,26909,2
47743894,59885,2
47743894,53337,3
47743894,70056,2
47743894,6922_29448700_7777741,2
47743894,53813,3
47743894,108956_16461733,1
47743894,297928,1
47743894,297929,1
47743894,2164800,7
47743894,131596,3
47743894,465320,3
47743894,184073,4
47743894,1206240,7
47743894,129679,1
47743894,80971,6
47743894,81095,4
47743894,81096,4
47743894,80972,4
47743894,81097,5
47743894,287986,4
47743894,783617,1
47743894,783867,2
47743894,1454995,3
23061067,34432_6889718_30529975_29452601_19783322_4469721,1
23061067,174776_7776221,1
23061067,6200344_9312363_3956_29448751,1
23061067,297672_29481439,1
23061067,29448784_46538_21909332,1
23061067,29839314_29461094_19721902_87010,1
23061067,11161528_9468425_60570_16345863,1
23061067,4448954_5842_30534024_23871337_16344842_32222316_29448703,1
23061067,18306696_1544962,2
23061067,107541_29451047,1
23061067,29768066_1306405,1
23061067,10431136_1473_16400066_29477125,1
23061067,21897521_217050,1
23061067,29451059_5293,1
23061067,12963205_185007,1
23061067,7923396_29968261_34067_29461881_22000287,1
23061067,21915186_119734,1
23061067,19105579_866999,1
23061067,584347,2
23061067,722140,2
23061067,149652,1
23061067,692650,1
23061067,870358,1
23061067,1611280,2
23061067,455079,1
23061067,539990,1
23061067,359359,1
23061067,4236823,2
23061067,1571119,1
23061067,692627,1
23061067,57387,1
23061067,2501748,1
23061067,1431907,2
23061067,118967,1
23061067,1616330,1
23061067,1431917,1
23061067,31955,1
23061067,2593504,2
23061067,2009941,1
23061067,584173,4
23061067,867205,1
23061067,1407709,1
23061067,677454,1
23061067,1543073,2
23061067,100416,1
23061067,3295906,2
23061067,1255584,1
23061067,1016057,1
23061067,841781,1
23061067,868858,1
23061067,202340,1
23061067,1875830,1
23061067,621282,2
23061067,1157131,1
23061067,1166618,1
23061067,518739,1
23061067,584171,1
23061067,1616396,1
23061067,1541559,2
23061067,1319670,1
23061067,584172,1
23061067,2088492,2
23061067,702800,3
23061067,1431919,1
23061067,461667,2
23061067,3294515,2
23061067,127838,2
23061067,2010094,1
23061067,1145831,1
23061067,2386932,1
23061067,869741,1
23061067,373238,1
23061067,1611230,1
23061067,869747,1
23061067,5561696,1
23061067,202341,3
23061067,872449,1
23061067,277054,1
23061067,1157096,1
23061067,68734,1
23061067,1611472,1
23061067,602627,1
23061067,722158,2
23061067,584177,3
23061067,463862,1
23061067,1089713,1
23061067,584319,1
23061067,1100834,1
23061067,722144,1
23061067,869726,1
23061067,1616375,1
23061067,115475,1
23061067,276683,1
23061067,132397,2
23061067,23506,1
23061067,37798,1
23061067,60760,1
23061067,3292773,2
23061067,126223,1
23061067,1611408,2
23061067,201213,1
23061067,1525782,2
23061067,2091735,1
49352642,29774714_83918,1
49352642,19940442_73669,1
49352642,14100066_590821,1
49352642,786721,2
49352642,125031,2
49352642,64460,1
49352642,786705,2
49352642,124997,2
49352642,820261,1
49352642,725220,1
49352642,314375,1
49352642,81357,1
49352642,125027,3
49352642,489141,1
49352642,314378,2
49352642,63646,1
49352642,383130,1
49352642,1151151,1
49352642,383154,1
49352642,81354,1
49352642,63666,1
49352642,725127,4
49352642,591214,1
49352642,86546,1
49352642,786717,2
49352642,591384,1
49352642,125022,2
49352642,725218,2
49352642,63662,1
49352642,125023,4
49352642,63627,1
49352642,786704,1
49352642,65954,1
49352642,86283,1
49352642,125026,2
49352642,81359,1
49352642,125024,2
49352642,63667,1
49352642,786722,2
49352642,137065,1
49352642,786703,2
49352642,314376,2
49352642,288680,1
49352642,61162,1
49352642,383184,2
49352642,878747,2
49352642,83916,1
49352642,591207,1
49352642,81358,1
49352642,1641306,1
49352642,81356,1
49352642,724413,1
49352642,383137,1
49352642,81355,2
49352642,63645,1
49352642,125028,2
49352642,83917,1
49352642,1802911,1
49352642,591319,3
49352642,125030,2
49352642,1569625,3
49352642,2060864,1
49352642,383282,1
49352642,1594412,1
49352642,878748,2
49352642,786720,2
49352642,383156,1
49352642,125025,4
49352642,1569626,3
49352642,878749,1
49352642,32501,1
49352642,124996,2
49352642,314377,2
49352642,63663,1
49352642,786702,2
49352642,786719,1
49352642,1569627,4
49352642,81353,1
49352642,125021,2
49352642,1569624,2
49352642,1805883,1
49352642,786701,2
49352642,383364,2
49352642,63664,1
49352642,1151150,1
49352642,1061902,2
49352642,63403,1
49352642,186551,7
49352642,574657,1
49352642,2036819,1
49352642,2419863,1
38213001,10993793_29446769_29839679_8088584_114540_11421519,1
38213001,16569057_114709,3
38213001,114273_7776774_29460998,6
38213001,460081,1
38213001,898768,2
38213001,8992307_4868_29449663,4
38213001,29578486_19685511_23173561_11386508_1733245_57692,4
38213001,12658392_108050_11175659,1
38213001,106922,2
38213001,30528370_85861_29457038,1
38213001,30530634_19703620_149733_16165453,1
38213001,7020682,3
38213001,442114,14
38213001,104883_9363796_30540846_11710778_29446862_18091103,2
38213001,19719226_29449436_502250_12658023,6
38213001,19724579_660501_13667270,1
38213001,4040976,4
38213001,107603,1
38213001,152888,2
38213001,409488,2
38213001,52451,1
38213001,196693,5
38213001,112136_29865569_10989487,6
38213001,61775,2
38213001,186332,4
38213001,10403258_39595_22987598,3
38213001,17830976_29456464_115223_11174855,1
38213001,925221,1
38213001,2505,4
38213001,109096_18178233_11005090_23728179,4
38213001,52686,2
38213001,1879260,2
38213001,408047,1
38213001,328514,1
38213001,9732371_30544644_276565_29450502_7954519_8088959,1
38213001,19597825_276557,5
38213001,19725850_312391,3
38213001,316938,1
38213001,115681_10375043_29446788_21914414,3
38213001,29450980_2510,2
38213001,113117,2
38213001,673719,1
38213001,749930,1
38213001,10401260_113233_29447381_30194970_11188156,1
38213001,236961,2
38213001,108953,2
38213001,77906,1
38213001,1730866,3
38213001,450514,3
38213001,29447816_118205,3
38213001,359779_21998988,2
38213001,8088885_137229_22171278_7220063,3
38213001,442920,4
38213001,4207974,5
38213001,236967,5
38213001,1875816,18
38213001,617398,1
38213001,29465097_296007,1
38213001,19598059_50575,2
38213001,5320869_457359,1
38213001,837979,1
38213001,11714563_21930819_16165468_19213_29449662_19686895,6
38213001,459232_22071705,1
38213001,29450417_55060,2
38213001,426380,3
38213001,29446784_52683,3
38213001,21914288_29449825_2508,6
38213001,459214,1
38213001,446074,4
38213001,11307032_36948,2
38213001,312120_19873092_31622406,8
38213001,29446912_59185_11096210_31646424_4157611_21910365,2
38213001,15677968_29446729_30157255_54047,4
38213001,29968257_40965_12176343,4
38213001,11276008_30528980_29446653_121975,2
38213001,9449681_50420,1
38213001,115908_29446885,1
38213001,364502_29461879,1
38213001,446093,4
38213001,84721_17826130_19647415_23567000_11850556_31652222_29454319,7
38213001,109652,1
38213001,446094,7
38213001,9316451_296003,3
38213001,446095,6
38213001,16180924_11850948_30153740_1592_23563932,1
38213001,12658848_19593901_52893_9319343,4
38213001,5603736_276564_8089039,2
38213001,15581887_18254252_62463,8
38213001,16165474_53797_11162677_31545846,2
38213001,1784697,6
38213001,19597826_21882566_10401261_51248_29447924,1
38213001,112887,1
38213001,11338753_16441250_8088842_51758,4
38213001,104880_2397946_16265348_8992095,1
38213001,221442,3
38213001,19696483_111189,8
38213001,107312_11284037_17839878_30529519,1
38213001,3963118,2
38213001,23223,1
38213001,107597,3
38213001,107598,6
38213001,12658531_29446652_117718_11162156,4
38213001,2507_30086278_22987575,1
38213001,121153,3
38213001,2499,2
38213001,52504,4
38213001,444492,6
38213001,117644_19598317,1
38213001,12570634_23537_29452531_4488247_9142173,3
38213001,11393952_7208083_21104_30530776,2
38213001,82787,3
38213001,21999074_179839_12751119,1
38213001,427811,1
38213001,428665,1
38213001,108026,4
38213001,116551,1
38213001,2504_10987186_29449830,4
38213001,29456401_57690_30128486_9733242,4
38213001,4105077,19
38213001,11536905_4493797_29449518_222647,1
38213001,286696,4
38213001,29451250_201395,1
38213001,12171168_4966209_11285826_30569507_29449590_14155208_12079,3
38213001,29447857_323269,3
38213001,312494,1
38213001,6711640,3
38213001,62462,7
38213001,376588,3
38213001,192319,6
38213001,105796_19696046_29591895_29450908_11714686,4
38213001,29450305_19685513_8369868_25118,4
38213001,265561,1
38213001,1765,1
38213001,12176344_4482700_11338748_106351,2
38213001,12674840_10404698_51597_30530229,4
38213001,16569036_116597_5119462,1
38213001,23801,4
38213001,1730432_23168206,4
38213001,107600_15677975,2
38213001,40964,2
38213001,3349119,1
38213001,22987530_9732364_114500,3
38213001,30552096_15582121_29447817_110003_10877470,1
38213001,291649,4
38213001,616866,5
38213001,83083,4
38213001,192196,7
38213001,715478,1
38213001,1199302,1
38213001,3592746,127
38213001,7663572,89
48961204,319971,1
48961204,131230,2
48961204,131232,2
48961204,822825,3
48961204,131233,1
48961204,31659046_4294470_30526677_29450710_81818,1
48961204,190319,1
48961204,21910821_29446937_17682586_14843_22038749_12829822,1
48961204,191623,1
48961204,122960_29473542,6
48961204,29452210_22579_16149087_17834239,1
48961204,58808_16059469,1
48961204,119848_12614339,2
48961204,1378146,1
48961204,192893,1
48961204,117123_29476412_22251638,1
48961204,15353,1
48961204,821688_17788437_12960085_29478327_16027832,1
48961204,117112_12655241_30562738_29473472,1
48961204,1234458_14431687,1
48961204,1945303,1
48961204,791531,13
48961204,17682753_4234_11732253_22031199,1
48961204,12644681_190323,1
48961204,1755043,2
48961204,128275,1
48961204,824739,1
48961204,791533,5
48961204,791534,1
48961204,343782,1
48961204,1130399,1
48961204,191649,1
48961204,21909161_17682828_97383,4
48961204,207249,1
48961204,191910,1
48961204,791537,3
48961204,29453613_30128381_18111414_14839,2
48961204,922083,2
48961204,19218_29475107_16316151,1
48961204,787280,3
48961204,823521,1
48961204,12614761_29457540_131108,5
48961204,131266_17682707_29968678_29874743,1
48961204,1716,1
48961204,2022987,5
48961204,29450672_22580_18090996_19598486_13444310,1
48961204,1506244,4
48961204,791344,11
48961204,81928_29450123,1
48961204,2392922,3
48961204,1554056_24209780,1
48961204,18091680_30153745_16363673_4290873_29456762_109882,2
48961204,9153_1280083_12664843_29449567,1
48961204,2392925,10
48961204,29473651_117126_19872407_7197306_5614043_30182812_2898271,2
48961204,109936_29450642_4470516,2
48961204,30128453_76966_29452937_10421713_30566299,1
48961204,951384,1
48961204,791400,12
48961204,13034227_218227,1
48961204,585963,1
48961204,19583524_4494406_21383_11388678_29822446_8090159_23690173_21914355_23564628_30567028_16157053,3
48961204,25390,1
48961204,17419059_475252_29473470,2
48961204,25391,1
48961204,7933168_12625789_260070_29450447,2
48961204,30698554_14015219_362759,1
48961204,25379,1
48961204,1541898,1
48961204,50385_11150065_29968689_23564645_6372455_12590104_21930729_12944891,3
48961204,351950,5
48961204,22121574,3
48961204,19622529_21897506_77132_30146026,2
48961204,22478187_9507468_31647181_29458070_199190,7
48961204,26634_11405712_5582714_31644764_23721053,2
48961204,745736,1
48961204,22061,1
48961204,340309,1
48961204,1480_29479503,1
48961204,791441,3
48961204,993091,1
48961204,107058,1
48961204,392664_29472337,1
48961204,17895121_14829_29457430,1
48961204,98467,4
48961204,12673177_12177508_29464869_116550,1
48961204,98469,1
48961204,22069,3
48961204,951239,1
48961204,193198,3
48961204,21918507_1252822_19811351,1
48961204,169549,1
48961204,180785,1
48961204,48985_22987561_7962154,1
48961204,18091040_11326379_3797_30151223,3
48961204,13015,1
48961204,24113473_12668709_30174599_29446666_9745452_4342195_31579_21923294_16363935,1
48961204,19699264_21897377_17932194_7817446_30271339_12830252_12177069_29447726_4469327_62226_8088850_16180694_11176631,2
48961204,183548,2
48961204,13627544_12614691_415156,4
48961204,2298619,1
48961204,370200,1
48961204,192675,1
48961204,396214,5
48961204,191650,1
48961204,12614688_13381018_399549,6
48961204,1794671,1
48961204,2097397,1
48961204,791529,12
48961204,16966832_21882979_139079_16180712_29451721_13238730_19719309,12
48961204,65673_29453396,1
48961204,23588289_21387,1
48961204,952374,1
48961204,266540,3
48961204,183622,1
48961204,191672,1
48961204,617571,4
48961204,12668714_199525_17682759,3
48961204,52193_20146463_16291167_29468713,4
48961204,11326440_11652_29448780,1
48961204,971219,2
48961204,296226_19243877,1
48961204,4334240_11347_29454339,1
48961204,791580,3
48961204,191694,1
48961204,105497,5
48961204,791583,6
48961204,554368,1
48961204,206904,1
48961204,462074_15918927,1
48961204,1236924,1
48961204,613256_23566985_16328008_29452433_4290321_10877942_30393911_11731354_18091039,2
48961204,25380,1
48961204,189987,1
48961204,7832292_19597876_14742903_9440891_24715_10991421,1
48961204,25381,1
48961204,25382,1
48961204,19770347_5286,1
48961204,951414,1
48961204,22578_17877341,1
48961204,409403,3
48961204,25384,1
48961204,25385,1
48961204,193149,1
48961204,104956,5
48961204,707568,5
48961204,25386,1
48961204,25387,1
48961204,791394,1
48961204,25388,1
48961204,742066,1
48961204,351945,5
48961204,29459278_105015,5
48961204,25389,1
48961204,351946,4
48961204,315290,1
48961204,191758,1
48961204,502141,1
48961204,202075,2
48961204,791433,8
48961204,110048,1
48961204,41555_22135582_29516747,3
48961204,191810,1
48961204,7956226_21912680_19883376_30540855_13883,3
48961204,64329_16054811_6345756_29454855,3
48961204,888537,1
48395946,18119133_59543,1
48395946,57825_29451239,1
48395946,93249_12860956,1
48395946,29958991_12439,1
48395946,10975784_83493,1
48395946,81680_2189225_5571316,1
48395946,1616918_50983,1
48395946,4369065_48710,1
48395946,185234_9546455,1
48395946,2141505_2497_29451045,1
48395946,34064_572665_9138023,1
48395946,103593_11283010,1
48395946,2899_29450557,1
48395946,21262_12177343,1
48395946,107288_31648819,1
48395946,72912_11326396,1
48395946,11326288_29448343_86_23563959,1
48395946,452426_30530735,1
48395946,30265009_19929250_241499_10985373,1
48395946,901647,3
48395946,94195,1
48395946,1917972,1
48395946,81182,1
48395946,100440,1
48395946,93083,1
48395946,94368,1
48395946,102139,1
48395946,1758759,1
48395946,100310,1
48395946,100313,1
48395946,41220,1
48395946,103903,1
48395946,356333,1
48395946,1339443,1
48395946,10749,1
48395946,41153,1
48395946,1290793,1
48395946,449045,1
48395946,2900,1
48395946,1617287,1
48395946,59171,1
48395946,53573,1
48395946,177930,2
48395946,27512,1
48395946,53636,1
48395946,22149,1
48395946,57791,1
48395946,182090,2
48395946,39350,1
48395946,296912,1
48395946,41081,1
48395946,1391348,1
48395946,1210529,1
48395946,176967,1
48395946,107396,1
48395946,151059,1
48395946,17017,1
48395946,1346020,1
48395946,290941,1
48395946,174205,1
48395946,727528,1
48395946,111283,1
48395946,152379,1
48395946,727540,1
48395946,96362,1
48395946,13720,1
48395946,18937,1
48395946,2323,1
48395946,19528,1
48395946,250021,1
48395946,2894,1
48395946,410796,1
48395946,28913,1
48395946,60240,1
48395946,38047,1
48395946,26063,1
48395946,153644,1
48395946,763212,2
48395946,103596,3
48395946,2891,1
48395946,94478,1
48395946,22032,1
48395946,182092,2
48395946,59531,1
48395946,300587,1
48395946,406326,1
48395946,100312,1
48395946,81183,1
48395946,359140,1
48395946,14330,1
48395946,26342,1
48395946,25025,1
48395946,59442,1
48395946,100968,2
48395946,251261,1
48395946,356662,1
48395946,356934,1
48395946,449044,2
48401539,543670,1
48401539,1787610,1
48401539,9391057_4466202_53433,1
48401539,15677952_168930_10405924_8088558_11174641,1
48401539,19733284_109022,2
48401539,29452561_107150,1
48401539,193228,1
48401539,632565,1
48401539,214418_23669350,3
48401539,216529,1
48401539,19982315_2330543,1
48401539,869296,3
48401539,377578,1
48401539,30530634_19703620_149733_16165453,1
48401539,7745,1
48401539,13123380_29459205_31736652_30527436_16187309_364335,1
48401539,29669316_4342180_53808_12177364_17880725,1
48401539,59127,1
48401539,276202,1
48401539,9350896_7925424_94789_4486414,1
48401539,8088853_25860_16966773,1
48401539,214360_824516,1
48401539,21765187_630435,1
48401539,682641_20066274_4717822,1
48401539,2666160,1
48401539,293984_18297689,2
48401539,1406771,1
48401539,100818_22987532_21914501,1
48401539,672630,1
48401539,16157068_51245,1
48401539,224969_29456485,1
48401539,51167,1
48401539,1168676,1
48401539,11731350_10877943_134105_7961850_29449532,1
48401539,12877224_118580,1
48401539,21922464_17881600_29632337_19717348_8088469_30149350_51388,1
48401539,11374240_30527538_21930803_10405892_29456534_9805_7817518,1
48401539,97994,2
48401539,316950,1
48401539,12671107_622542,1
48401539,1943934,1
48401539,672672,1
48401539,30877196_120278_18113679,1
48401539,2497842,1
48401539,22644742_19653578_13839917_28695_7780441,3
48401539,217241,1
48401539,177701,1
48401539,12658914_30530729_178749_29785989_29446791_4397257_28683_11862733,1
48401539,12668205_215542,3
48401539,213907,2
48401539,18297709_682639,1
48401539,19725744_29452482_111527,1
48401539,37916,3
48401539,20056904_1168675,1
48401539,216664,1
48401539,30157256_4337818_53544,1
48401539,672041,1
48401539,13465107_222693,1
48401539,428717,1
48401539,51515,1
48401539,2056202,3
48401539,672486,1
48401539,18522953_220529_16019454,1
48401539,4934500_9524526_318224_29652723_29456507,1
48401539,317152,1
48401539,29817387_30149346_323107_30559307,2
48401539,4291300_29447932_7848212_7451_12578812,1
48401539,50419,1
48401539,444600,1
48401539,217532,1
48401539,29851103_120986_12647734_16589194,2
48401539,21909616_19696144_29450978_4467975_50413_8088462_11849583,3
48401539,3013086,1
48401539,11714563_21930819_16165468_19213_29449662_19686895,1
48401539,50819_8088847_29449682_15677846_12658521,1
48401539,317847,2
48401539,286341,1
48401539,258354,1
48401539,23801899_220604,1
48401539,2528985,1
48401539,750391,1
48401539,16156856_29447738_121693,1
48401539,29483059_148740,2
48401539,11276066_87107_12590293_17824189,1
48401539,1140724,1
48401539,29450850_194749,1
48401539,317441,1
48401539,623675,1
48401539,29955476_192422_4251484,3
48401539,429162,1
48401539,148474_8088618,1
48401539,20410729_7222027_443639,3
48401539,616666,1
48401539,4727652_52181,1
48401539,624279,1
48401539,19597826_21882566_10401261_51248_29447924,1
48401539,529497,1
48401539,148857,1
48401539,11686218_290987_18090659_21908686,5
48401539,276193,1
48401539,52218,1
48401539,2666158,1
48401539,113491_11385852_9524131_6231011,1
48401539,1676355,1
48401539,41113_12561974,1
48401539,23223,1
48401539,29447489_28484_8088551_16316460_29459992,1
48401539,19721873_7220241_10404147_17949812_30540845_32397_11388606_15677951,1
48401539,17366479_1293819_31075614_29458935,1
48401539,167902_11388607,2
48401539,52098_29447981,1
48401539,10428700_293230_29456535,1
48401539,617095,1
48401539,34064_572665_9138023,1
48401539,2382478,1
48401539,111909,1
48401539,29448904_147919,1
48401539,22635737_16067108_1557726_29998279,1
48401539,29535506_317396_21916261_20345543,1
48401539,428662,1
48401539,318796,1
48401539,1369565,1
48401539,430124,1
48401539,10401872_22064074_169366_16327902,1
48401539,213450,2
48401539,112904_30149368,3
48401539,22987545_54811_29450844_19724692,3
48401539,118650,1
48401539,30180706_16363765_52103,1
48401539,502279,1
48401539,317121,1
48401539,290770,1
48401539,392272_19794809_9416621,1
48401539,105746_19387613,2
48401539,29447334_11405746_51445_16215032_21911001,1
48401539,1100205,1
48401539,11851180_29447762_5572439_18091003_39582,1
48401539,275820_10428444,2
48401539,22032,1
48401539,12960288_581425,1
48401539,274658,1
48401539,228480,1
48401539,502350,1
48401539,50409,1
48401539,99039,1
48401539,122656_11714848_15775812_10990272,1
48401539,557352,2
48401539,288169_3784606_30528998_7893750,3
48401539,50660_9470996_7953575,1
48401539,298600,1
48401539,4627056_112916,1
48401539,29450881_21682_5622994_31652214_7893911,1
48401539,427186,1
48401539,1503945_30680196,1
48401539,112164,1
46320628,30151484_1313838,2
46320628,1085469,1
46320628,310652_15959245,12
46320628,309273_13442836_30151125_21916061,15
46320628,110350,13
46320628,1285682,5
46320628,1282085,6
46320628,2262884,1
46320628,1955874,4
46320628,895416,1
46320628,412983,1
46320628,1910854,1
46320628,29465421_1282055,10
46320628,29601562_1377399,3
46320628,453152,16
46320628,1282626,1
46320628,2274144,44
46320628,411081,1
46320628,402876,1
46320628,112764,18
46320628,660844,4
46320628,22922,2
46320628,1314552,4
46320628,942926,2
46320628,1442647,1
46320628,311753,1
46320628,29875510_310647,3
46320628,2664931,2
46320628,1087631,1
46320628,1004206,4
46320628,311546,4
46320628,1737231,4
46320628,1582581,2
46320628,311811,32
46320628,13668560_16149285_308831,1
46320628,1086111,17
46320628,5646593_10021287_1292711_29449489_29867835,33
46320628,111904_15913790,1
46320628,296328,2
46320628,1281072,5
46320628,2286115,6
46320628,823720,2
46320628,2342715,1
46320628,1435101,2
46320628,1180314_29460899,1
46320628,2242386,3
46320628,1282139,1
46320628,310583,1
46320628,3952094,3
46320628,1313851_30523631,1
46320628,2664840_22112869,1
46320628,1283219,1
46320628,296314_30149325,7
46320628,311890,15
46320628,2262760,2
46320628,1376767,14
46320628,1233800,6
46320628,2342776,1
46320628,1085618,3
46320628,671891,1
46320628,18038056_22952,15
46320628,23286,2
46320628,1725278,2
46320628,30128176_412949,19
46320628,1281195,22
46320628,1290434_22105146,2
46320628,175210,2
46320628,296325,5
46320628,1314942,10
46320628,2611353,22
41826001,12644731_15468,4
41826001,7797787_840550,1
41826001,30158395_9119382_112295,5
41826001,29456008_117146,1
41826001,740816_7797789,1
41826001,16180924_11850948_30153740_1592_23563932,2
41826001,471475_7925303_12590126_10608199,2
41826001,257250_17682547_12590292_19692733_3612351,1
41826001,29562635_2181599,1
41826001,7797736_839398,1
41826001,839892_7797788,1
41826001,22068626_946220,1
41826001,19621483_4974,1
41826001,19621484_373,2
41826001,11282641_135262_21897363_10524114_9141049_22038170_7911214_18012591,1
41826001,916_11022702,3
41826001,763704_7955020,1
41826001,16187225_3609707_22029292_11326063_9391960_16966298_11162104_9141721_12672986_21883037_1438,1
41826001,29480321_322267,2
41826001,35512_29450434,6
41826001,503911,1
41826001,435236,2
41826001,317137,1
41826001,74624,1
41826001,1410902,1
41826001,502819,1
41826001,505118,4
41826001,1590511,1
41826001,181420,1
41826001,346156,1
41826001,44827,1
41826001,807137,1
41826001,765455,1
41826001,45629,1
41826001,840454,2
41826001,810437,2
41826001,563064,2
41826001,967400,1
41826001,225899,2
41826001,956866,2
41826001,32381,1
41826001,51838,1
41826001,1005181,2
41826001,89000,1
41826001,181640,1
41826001,1263020,1
41826001,31715,3
41826001,87955,5
41826001,748440,1
41826001,283221,1
41826001,840138,1
41826001,315598,1
41826001,121976,5
41826001,982099,1
41826001,379866,1
41826001,281811,2
41826001,210471,1
41826001,737966,1
41826001,90585,1
41826001,87952,1
41826001,52623,1
41826001,3167019,1
41826001,49070,1
41826001,379852,1
41826001,645525,1
41826001,214385,1
41826001,379851,1
41826001,45208,1
41826001,37115,3
41826001,1443080,1
41826001,74132,1
41826001,387538,1
41826001,41419,2
41826001,49088,1
41826001,1223819,1
41826001,90397,1
41826001,36748,1
41826001,66919,1
41826001,231021,1
41826001,860752,1
41826001,2015782,1
41826001,748595,1
41826001,1443081,1
41826001,116035,2
41826001,967402,1
41826001,1443368,1
41826001,181642,4
41826001,96427,1
41826001,54313,1
41826001,1857192,1
41826001,4125,1
41826001,228575,1
41826001,154819,1
41826001,87662,6
41826001,1415003,1
41826001,181641,1
41826001,52697,1
41826001,1716052,2
41826001,49770,2
41826001,830108,1
41826001,224322,1
41826001,493734,1
41826001,37894,2
41826001,1272158,7
41826001,50009,1
41826001,2737,1
41826001,5365,1
41826001,49772,2
41826001,349351,1
41826001,1071916,1
41826001,1412555,2
41826001,2101038,9
49408613,31658321_702753_29937212,1
49408613,366184_29462504_22112854,1
49408613,3012_30241237_29457188,1
49408613,3470749,1
49408613,234049_18118210_30411219_30529972_11706357_9364918_7935685,2
49408613,1084705,11
49408613,1086267,3
49408613,1258079,1
49408613,412654,3
49408613,1031697,6
49408613,9442554_1951301,1
49408613,1738153,2
49408613,696012,1
49408613,118967,4
49408613,780502,7
49408613,1084555_29465428,23
49408613,1570121,1
49408613,120370,1
49408613,11473152_7097489_148946_9706842,2
49408613,1523792,1
49408613,84911,1
49408613,29461882_129893,1
49408613,513613,1
49408613,29482683_348542,1
49408613,925089,3
49408613,21930754_12738531_12590334_13884_7939006_29446719,5
12091657,133369_19598258_9081202,1
12091657,18929_29447036,1
12091657,257341,1
12091657,3476108,2
12091657,1821319_17637975,2
12091657,7946017_685114_29968765,2
12091657,1504022,2
12091657,34464_16203073_21923907_7965098_29446907,1
12091657,10524914_1470285,2
12091657,3608961_197697_17951252_30527304_12644636_7963775,1
12091657,30171076_21917957_350088_10019913_5598376_17218633_31643720_18988365_29896689_7971605_15776375_19698523,1
12091657,951284,1
12091657,18114336_30209280_21911714_47551,2
12091657,11167114_23624932_122069,2
12091657,1160927,5
12091657,29459217_556443,1
12091657,454004,2
12091657,29460749_265285,2
12091657,1918436,1
12091657,22318695_30465833_29457583_4290707_99988,2
12091657,1303059,1
12091657,24419785_17250834_1089717,1
12091657,109301,1
12091657,1029033_16544865_20320773,1
12091657,845290,1
12091657,24187509_364542,1
12091657,503555,1
12091657,13262912_16487234_29449042_101045_20171880_4295181,1
12091657,257385_10430887,3
12091657,900882_18126572,2
12091657,19583524_4494406_21383_11388678_29822446_8090159_23690173_21914355_23564628_30567028_16157053,1
12091657,1107425,1
12091657,10512360_1087657,1
12091657,117642,1
12091657,1107428,1
12091657,263720,6
12091657,11497418_346613,1
12091657,19742050_365813,1
12091657,2010107,1
